GCA_protein_ID,GCA_gene_ID,GCF_protein_ID,GCF_gene_ID,common_name,product,Orthogroup
ABJ13752.1,PA14_58190,WP_071536084.1,PA14_RS23735,gatB,Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatB,OG0003754
ABJ13753.1,PA14_58210,WP_003094403.1,PA14_RS23740,PA14_RS23740,septal ring lytic transglycosylase RlpA family protein,OG0003755
ABJ13754.1,PA14_58220,WP_003141319.1,PA14_RS23745,PA14_RS23745,carboxymuconolactone decarboxylase family protein,OG0003756
ABJ13755.1,PA14_58230,WP_003141321.1,PA14_RS23750,PA14_RS23750,YfaP family protein,OG0003757
ABJ13756.1,PA14_58240,WP_003141324.1,PA14_RS23755,PA14_RS23755,DUF2300 domain-containing protein,OG0003758
ABJ13757.1,PA14_58250,WP_003141326.1,PA14_RS23760,magD,alpha-2-macroglobulin MagD,OG0003759
ABJ13758.1,PA14_58260,WP_003141328.1,PA14_RS23765,PA14_RS23765,DUF1175 domain-containing protein,OG0003760
ABJ13759.1,PA14_58270,WP_003141329.1,PA14_RS23770,PA14_RS23770,DUF2138 domain-containing protein,OG0003761
ABJ13760.1,PA14_58290,WP_003094417.1,PA14_RS23775,PA14_RS23775,YfaP family protein,OG0003762
ABJ13761.1,PA14_58300,WP_003094419.1,PA14_RS23780,PA14_RS23780,response regulator transcription factor,OG0003763
ABJ13762.1,PA14_58320,WP_003094421.1,PA14_RS23785,PA14_RS23785,ATP-binding protein,OG0003764
ABJ13763.1,PA14_58330,WP_003094423.1,PA14_RS23790,PA14_RS23790,SIMPL domain-containing protein,OG0003765
ABJ13764.1,PA14_58350,WP_003116231.1,PA14_RS23795,PA14_RS23795,ABC transporter substrate-binding protein,OG0000004
ABJ13765.1,PA14_58360,WP_003141332.1,PA14_RS23800,PA14_RS23800,ABC transporter substrate-binding protein,OG0000004
ABJ15689.1,PA14_58375,WP_003094429.1,PA14_RS23805,mdpA,metallopeptidase MdpA,OG0005485
ABJ13766.1,PA14_58380,WP_003094433.1,PA14_RS23810,psdR,transcriptional regulator PsdR,OG0003766
ABJ13767.1,PA14_58390,WP_003141334.1,PA14_RS23815,PA14_RS23815,ABC transporter substrate-binding protein,OG0000004
ABJ13768.1,PA14_58410,WP_003141335.1,PA14_RS23820,PA14_RS23820,OprD family outer membrane porin,OG0003767
ABJ13769.1,PA14_58420,WP_003141337.1,PA14_RS23825,PA14_RS23825,ABC transporter substrate-binding protein,OG0000004
ABJ13770.1,PA14_58440,WP_003105448.1,PA14_RS23830,PA14_RS23830,ABC transporter permease subunit,OG0003768
ABJ13771.1,PA14_58450,WP_003094448.1,PA14_RS23835,PA14_RS23835,ABC transporter permease subunit,OG0003769
ABJ13772.1,PA14_58470,WP_003094451.1,PA14_RS23840,PA14_RS23840,ATP-binding cassette domain-containing protein,OG0003770
ABJ13773.1,PA14_58490,WP_003110330.1,PA14_RS23845,PA14_RS23845,ABC transporter ATP-binding protein,OG0003771
ABJ13774.1,PA14_58500,WP_003141339.1,PA14_RS23850,PA14_RS23850,LysE family translocator,OG0003772
ABJ13775.1,PA14_58510,WP_003094456.1,PA14_RS23855,PA14_RS23855,Lrp/AsnC family transcriptional regulator,OG0003773
ABJ15673.1,PA14_58515,WP_003141340.1,PA14_RS23860,PA14_RS23860,biotin-dependent carboxyltransferase family protein,OG0005472
ABJ13776.1,PA14_58530,WP_003110333.1,PA14_RS23865,pxpB,5-oxoprolinase subunit PxpB,OG0003774
ABJ13777.1,PA14_58540,WP_003141341.1,PA14_RS23870,PA14_RS23870,LamB/YcsF family protein,OG0000137
ABJ13778.1,PA14_58550,WP_003141342.1,PA14_RS23875,lpxO,lipid A hydroxylase LpxO,OG0000058
ABJ13779.1,PA14_58560,WP_003141343.1,PA14_RS23880,PA14_RS23880,sulfite reductase flavoprotein subunit alpha,OG0003775
ABJ13780.1,PA14_58570,WP_003116241.1,PA14_RS23885,piuA,TonB-dependent siderophore receptor PiuA,OG0003776
ABJ13781.1,PA14_58580,WP_003110338.1,PA14_RS23890,PA14_RS23890,Fe2+-dependent dioxygenase,OG0003777
ABJ13782.1,PA14_58600,WP_003141344.1,PA14_RS23895,PA14_RS23895,tetratricopeptide repeat protein,OG0003778
ABJ13783.1,PA14_58610,WP_003141345.1,PA14_RS23900,PA14_RS23900,phosphoethanolamine transferase CptA,OG0003779
ABJ13784.1,PA14_58620,WP_003094613.1,PA14_RS23905,PA14_RS23905,VOC family protein,OG0003780
ABJ13785.1,PA14_58630,WP_003094617.1,PA14_RS23910,PA14_RS23910,type III PLP-dependent enzyme,OG0003781
ABJ13786.1,PA14_58650,WP_003094624.1,PA14_RS23915,PA14_RS23915,methyl-accepting chemotaxis protein,OG0003782
ABJ13787.1,PA14_58660,WP_003141346.1,PA14_RS23920,ampE,regulatory signaling modulator protein AmpE,OG0003783
ABJ13788.1,PA14_58670,WP_003112844.1,PA14_RS23925,ampD,1%2C6-anhydro-N-acetylmuramyl-L-alanine amidase AmpD,OG0003784
ABJ13789.1,PA14_58690,WP_003134886.1,PA14_RS23930,PA14_RS23930,DUF1631 domain-containing protein,OG0003785
ABJ13790.1,PA14_58700,WP_003141348.1,PA14_RS23935,nadC,carboxylating nicotinate-nucleotide diphosphorylase,OG0003786
ABJ13791.1,PA14_58720,WP_016254081.1,PA14_RS23945,PA14_RS23945,hypothetical protein,OG0003787
ABJ13792.1,PA14_58730,WP_003141352.1,PA14_RS30890,PA14_RS30890,pilin,OG0003788
ABJ13793.1,PA14_58740,,,,,
ABJ13794.1,PA14_58750,WP_003141354.1,PA14_RS23955,pilB,type IV-A pilus assembly ATPase PilB,OG0003789
ABJ13795.1,PA14_58760,WP_016254080.1,PA14_RS23960,PA14_RS23960,type II secretion system F family protein,OG0003790
ABJ13796.1,PA14_58770,WP_003141356.1,PA14_RS23965,pilD,type IV prepilin peptidase/methyltransferase PilD,OG0003791
ABJ13797.1,PA14_58780,WP_003094654.1,PA14_RS23970,coaE,dephospho-CoA kinase,OG0003792
ABJ13798.1,PA14_58790,WP_003094656.1,PA14_RS23975,yacG,DNA gyrase inhibitor YacG,OG0003793
ABJ13799.1,PA14_58800,WP_003094660.1,PA14_RS23980,PA14_RS23980,hypothetical protein,OG0003794
ABJ13800.1,PA14_58810,WP_003103868.1,PA14_RS23985,PA14_RS23985,energy-coupling factor ABC transporter permease,OG0003795
ABJ13801.1,PA14_58820,WP_003094664.1,PA14_RS23990,PA14_RS23990,hypothetical protein,OG0003796
ABJ13802.1,PA14_58830,WP_003103865.1,PA14_RS23995,PA14_RS23995,GNAT family N-acetyltransferase,OG0003797
ABJ13803.1,PA14_58840,WP_003094668.1,PA14_RS24000,PA14_RS24000,DUF1780 domain-containing protein,OG0003798
ABJ13804.1,PA14_58850,WP_003141357.1,PA14_RS24005,PA14_RS24005,MOSC domain-containing protein,OG0003799
ABJ13805.1,PA14_58860,WP_003094672.1,PA14_RS24010,PA14_RS24010,DUF3094 family protein,OG0003800
ABJ13806.1,PA14_58870,WP_003112837.1,PA14_RS24015,PA14_RS24015,NAD(P)/FAD-dependent oxidoreductase,OG0003801
ABJ13807.1,PA14_58880,WP_003141360.1,PA14_RS24020,zapE,cell division protein ZapE,OG0003802
ABJ13808.1,PA14_58890,WP_003141362.1,PA14_RS24025,PA14_RS24025,ShlB/FhaC/HecB family hemolysin secretion/activation protein,OG0003803
ABJ13809.1,PA14_58900,WP_003141364.1,PA14_RS24030,tpsA4,two-partner secretion system exoprotein TpsA4,OG0003804
ABJ13810.1,PA14_58910,WP_003141367.1,PA14_RS24035,PA14_RS24035,ParA family protein,OG0003805
ABJ13811.1,PA14_58920,WP_016254077.1,PA14_RS24040,PA14_RS24040,hypothetical protein,OG0003806
ABJ13812.1,PA14_58930,WP_003141370.1,PA14_RS24045,PA14_RS24045,hypothetical protein,OG0003807
ABJ13813.1,PA14_58940,WP_003141372.1,PA14_RS31460,PA14_RS31460,hypothetical protein,OG0003808
ABJ13814.1,PA14_58950,WP_003141374.1,PA14_RS24050,PA14_RS24050,hypothetical protein,OG0003809
ABJ13815.1,PA14_58960,WP_003141376.1,PA14_RS24055,PA14_RS24055,DUF2786 domain-containing protein,OG0003810
ABJ13816.1,PA14_58970,WP_003141378.1,PA14_RS24060,PA14_RS24060,HNH endonuclease signature motif containing protein,OG0003811
ABJ13817.1,PA14_58980,WP_003141381.1,PA14_RS24065,PA14_RS24065,hypothetical protein,OG0003812
ABJ13818.1,PA14_58990,WP_011666752.1,PA14_RS24070,dnaB,replicative DNA helicase,OG0000210
ABJ13819.1,PA14_59000,WP_003141385.1,PA14_RS24080,PA14_RS24080,hypothetical protein,OG0003813
ABJ13820.1,PA14_59010,WP_003134081.1,PA14_RS24085,PA14_RS24085,hypothetical protein,OG0003814
ABJ13821.1,PA14_59020,WP_003134082.1,PA14_RS31295,PA14_RS31295,hypothetical protein,OG0003815
ABJ13822.1,PA14_59030,WP_003103841.1,PA14_RS24095,PA14_RS24095,hypothetical protein,OG0003816
ABJ13823.1,PA14_59050,WP_011666753.1,PA14_RS24100,yejK,nucleoid-associated protein YejK,OG0000201
ABJ13824.1,PA14_59060,WP_016254076.1,PA14_RS24105,PA14_RS24105,Arc family DNA-binding protein,OG0003817
ABJ13825.1,PA14_59070,WP_003141405.1,PA14_RS24110,PA14_RS24110,ParB family protein,OG0003818
ABJ13826.1,PA14_59090,WP_003141406.1,PA14_RS24115,PA14_RS24115,DUF2857 domain-containing protein,OG0003819
ABJ13827.1,PA14_59100,WP_011666754.1,PA14_RS24120,PA14_RS24120,STY4528 family pathogenicity island replication protein,OG0003820
ABJ13828.1,PA14_59110,,,,,
ABJ13829.1,PA14_59120,WP_003141408.1,PA14_RS24125,PA14_RS24125,hypothetical protein,OG0003821
ABJ13830.1,PA14_59130,WP_011666755.1,PA14_RS24130,PA14_RS24130,TIGR03761 family integrating conjugative element protein,OG0003822
ABJ13831.1,PA14_59140,WP_003141409.1,PA14_RS24135,PA14_RS24135,DUF3158 family protein,OG0003823
ABJ13832.1,PA14_59150,WP_003141410.1,PA14_RS24140,PA14_RS24140,single-stranded DNA-binding protein,OG0003824
ABJ13833.1,PA14_59160,WP_031644039.1,,,,OG0003825
ABJ13834.1,PA14_59170,,,,,
ABJ13835.1,PA14_59180,WP_003141417.1,PA14_RS24155,topA,type I DNA topoisomerase,OG0003826
ABJ13836.1,PA14_59190,WP_003141419.1,PA14_RS30910,PA14_RS30910,hypothetical protein,OG0003827
ABJ13837.1,PA14_59200,WP_003141421.1,,,,OG0003828
ABJ13838.1,PA14_59210,WP_003141423.1,PA14_RS24165,PA14_RS24165,DEAD/DEAH box helicase,OG0003829
ABJ13839.1,PA14_59220,WP_096246128.1,,,,OG0003830
ABJ13840.1,PA14_59230,WP_003141427.1,,,,OG0003831
ABJ13841.1,PA14_59240,WP_004347965.1,PA14_RS24180,PA14_RS24180,TcpQ domain-containing protein,OG0003832
ABJ13842.1,PA14_59250,WP_003141429.1,PA14_RS24185,PA14_RS24185,PilN family type IVB pilus formation outer membrane protein,OG0003833
ABJ13843.1,PA14_59270,WP_003141431.1,PA14_RS24190,pilO2,type 4b pilus protein PilO2,OG0003834
ABJ13844.1,PA14_59280,WP_003141432.1,PA14_RS24195,pilP,type IV pilus biogenesis protein PilP,OG0003835
ABJ13845.1,PA14_59290,WP_003141433.1,PA14_RS24200,PA14_RS24200,ATPase%2C T2SS/T4P/T4SS family,OG0003836
ABJ13846.1,PA14_59310,WP_003109360.1,PA14_RS24205,PA14_RS24205,type II secretion system F family protein,OG0003837
ABJ13847.1,PA14_59320,WP_003141434.1,PA14_RS24210,PA14_RS24210,type 4 pilus major pilin,OG0003838
ABJ13848.1,PA14_59340,WP_003141435.1,PA14_RS24215,PA14_RS24215,ATPase%2C T2SS/T4P/T4SS family,OG0003839
ABJ13849.1,PA14_59350,WP_003141436.1,PA14_RS24220,pilV,shufflon system plasmid conjugative transfer pilus tip adhesin PilV,OG0003840
ABJ13850.1,PA14_59360,WP_003141437.1,PA14_RS24225,pilM,type IV pilus biogenesis protein PilM,OG0003841
ABJ13852.1,PA14_59370,,,,,
ABJ13851.1,PA14_59380,WP_003141439.1,PA14_RS24230,PA14_RS24230,hypothetical protein,OG0003842
ABJ13853.1,PA14_59390,WP_003099783.1,PA14_RS31680,PA14_RS31680,hypothetical protein,OG0003843
ABJ13854.1,PA14_59400,WP_016254072.1,PA14_RS24235,PA14_RS24235,STY4534 family ICE replication protein,OG0003844
ABJ13855.1,PA14_59410,,,,,
ABJ13856.1,PA14_59430,WP_016254071.1,PA14_RS24240,PA14_RS24240,hypothetical protein,OG0003845
ABJ13857.1,PA14_59440,WP_003141447.1,PA14_RS24245,PA14_RS24245,hypothetical protein,OG0003846
ABJ13858.1,PA14_59470,WP_003141448.1,PA14_RS24250,PA14_RS24250,hypothetical protein,OG0003847
ABJ13859.1,PA14_59480,WP_003141451.1,PA14_RS24255,PA14_RS24255,DUF3275 family protein,OG0003848
ABJ13860.1,PA14_59490,WP_003117060.1,PA14_RS24260,PA14_RS24260,hypothetical protein,OG0003849
ABJ13861.1,PA14_59500,WP_003141453.1,PA14_RS24265,PA14_RS24265,hypothetical protein,OG0003850
ABJ13862.1,PA14_59510,WP_003141455.1,PA14_RS24270,PA14_RS24270,hypothetical protein,OG0003851
ABJ13863.1,PA14_59520,WP_003141456.1,PA14_RS24275,PA14_RS24275,hypothetical protein,OG0003852
ABJ13864.1,PA14_59530,WP_003141457.1,PA14_RS24280,PA14_RS24280,DUF6094 domain-containing protein,OG0003853
ABJ13865.1,PA14_59540,WP_003141458.1,PA14_RS24285,PA14_RS24285,DEAD/DEAH box helicase,OG0003854
ABJ13866.1,PA14_59550,WP_003141459.1,PA14_RS30930,PA14_RS30930,hypothetical protein,OG0003855
ABJ13867.1,PA14_59560,WP_003141460.1,PA14_RS30935,PA14_RS30935,transposase,OG0003856
ABJ13868.1,PA14_59570,WP_003141461.1,PA14_RS24290,tnpB,IS66 family insertion sequence element accessory protein TnpB,OG0003857
ABJ13869.1,PA14_59580,,,,,
ABJ13870.1,PA14_59590,WP_003141464.1,PA14_RS30940,PA14_RS30940,DUF4440 domain-containing protein,OG0003858
ABJ13871.1,PA14_59600,,,,,
ABJ13872.1,PA14_59610,WP_003141468.1,PA14_RS24300,PA14_RS24300,hypothetical protein,OG0003859
ABJ13873.1,PA14_59620,WP_226342303.1,PA14_RS24305,PA14_RS24305,DUF3218 family protein,OG0003860
ABJ13874.1,PA14_59630,WP_016254068.1,PA14_RS30950,PA14_RS30950,hypothetical protein,OG0003861
ABJ13875.1,PA14_59640,WP_003141473.1,PA14_RS24315,PA14_RS24315,hypothetical protein,OG0003862
ABJ13876.1,PA14_59650,WP_003141475.1,PA14_RS24320,PA14_RS24320,TIGR03759 family integrating conjugative element protein,OG0003863
ABJ13877.1,PA14_59660,WP_003141478.1,PA14_RS24325,PA14_RS24325,hypothetical protein,OG0003864
ABJ13878.1,PA14_59670,WP_003141479.1,PA14_RS24330,PA14_RS24330,integrating conjugative element protein,OG0003865
ABJ13879.1,PA14_59680,WP_003141481.1,PA14_RS24335,PA14_RS24335,hypothetical protein,OG0003866
ABJ13880.1,PA14_59690,WP_003141485.1,PA14_RS24340,traD,type IV conjugative transfer system coupling protein TraD,OG0003867
ABJ13881.1,PA14_59700,WP_003141487.1,PA14_RS24345,PA14_RS24345,TIGR03747 family integrating conjugative element membrane protein,OG0000211
ABJ13882.1,PA14_59710,WP_003141489.1,PA14_RS24355,PA14_RS24355,fimbrial protein,OG0000138
ABJ13883.1,PA14_59720,WP_003141491.1,PA14_RS24360,PA14_RS24360,molecular chaperone,OG0000139
ABJ13884.1,PA14_59750,WP_003141493.1,PA14_RS24370,PA14_RS24370,fimbrial protein,OG0000140
ABJ13885.1,PA14_59760,WP_003141495.1,PA14_RS24375,PA14_RS24375,molecular chaperone,OG0000141
ABJ13886.1,PA14_59770,WP_016254066.1,PA14_RS24380,PA14_RS24380,response regulator,OG0003868
ABJ13887.1,PA14_59780,WP_003141499.1,PA14_RS24385,PA14_RS24385,hybrid sensor histidine kinase/response regulator,OG0003869
ABJ13888.1,PA14_59790,WP_003141502.1,PA14_RS24390,PA14_RS24390,EAL domain-containing response regulator,OG0003870
ABJ13889.1,PA14_59800,WP_003141504.1,PA14_RS24395,PA14_RS24395,response regulator,OG0003871
ABJ13890.1,PA14_59820,WP_011666758.1,PA14_RS24400,PA14_RS24400,TIGR03747 family integrating conjugative element membrane protein,OG0000211
ABJ13891.1,PA14_59830,WP_003141506.1,PA14_RS24405,PA14_RS24405,UvrD-helicase domain-containing protein,OG0003872
ABJ13892.1,PA14_59840,WP_003141508.1,PA14_RS31475,PA14_RS31475,hypothetical protein,OG0003873
ABJ15703.1,PA14_59845,WP_003134179.1,,,,OG0005497
ABJ13893.1,PA14_59850,WP_003141510.1,PA14_RS24415,PA14_RS24415,hypothetical protein,OG0003874
ABJ13894.1,PA14_59860,WP_031632755.1,PA14_RS24420,PA14_RS24420,RAQPRD family integrative conjugative element protein,OG0003875
ABJ13895.1,PA14_59870,WP_003125330.1,PA14_RS24425,PA14_RS24425,TIGR03758 family integrating conjugative element protein,OG0003876
ABJ13896.1,PA14_59880,WP_003141513.1,PA14_RS24430,PA14_RS24430,TIGR03745 family integrating conjugative element membrane protein,OG0003877
ABJ13897.1,PA14_59890,WP_003141514.1,PA14_RS24435,PA14_RS24435,TIGR03750 family conjugal transfer protein,OG0003878
ABJ13898.1,PA14_59900,WP_003086164.1,PA14_RS24440,PA14_RS24440,TIGR03746 family integrating conjugative element protein,OG0003879
ABJ13899.1,PA14_59910,WP_003141515.1,PA14_RS24445,PA14_RS24445,TIGR03749 family integrating conjugative element protein,OG0003880
ABJ13900.1,PA14_59920,WP_003141516.1,PA14_RS24450,PA14_RS24450,TIGR03752 family integrating conjugative element protein,OG0003881
ABJ13901.1,PA14_59930,WP_003141517.1,PA14_RS24455,PA14_RS24455,TIGR03751 family conjugal transfer lipoprotein,OG0003882
ABJ13902.1,PA14_59940,WP_011666759.1,PA14_RS24460,PA14_RS24460,conjugative transfer ATPase,OG0003883
ABJ13903.1,PA14_59950,WP_003086159.1,PA14_RS24465,PA14_RS24465,hypothetical protein,OG0003884
ABJ13904.1,PA14_59960,WP_011666760.1,PA14_RS24470,PA14_RS24470,DsbA family protein,OG0003885
ABJ13905.1,PA14_59970,WP_011666761.1,PA14_RS24475,PA14_RS24475,hypothetical protein,OG0000059
ABJ13906.1,PA14_59980,WP_003141524.1,PA14_RS24480,PA14_RS24480,TIGR03757 family integrating conjugative element protein,OG0003886
ABJ13907.1,PA14_59990,WP_003141525.1,PA14_RS24485,PA14_RS24485,TIGR03756 family integrating conjugative element protein,OG0003887
ABJ13908.1,PA14_60000,WP_003141526.1,PA14_RS24490,PA14_RS24490,integrating conjugative element protein,OG0003888
ABJ13909.1,PA14_60010,WP_003141527.1,PA14_RS24495,PA14_RS24495,hypothetical protein,OG0003889
ABJ13910.1,PA14_60020,WP_003141528.1,PA14_RS24500,PA14_RS24500,conjugal transfer protein TraG N-terminal domain-containing protein,OG0003890
ABJ13911.1,PA14_60030,WP_003141529.1,PA14_RS30960,PA14_RS30960,hypothetical protein,OG0003891
ABJ13912.1,PA14_60040,WP_003086148.1,PA14_RS24505,PA14_RS24505,type II toxin-antitoxin system ParD family antitoxin,OG0003892
ABJ13913.1,PA14_60050,WP_003141530.1,PA14_RS24510,PA14_RS24510,type II toxin-antitoxin system RelE/ParE family toxin,OG0003893
ABJ13914.1,PA14_60060,,,,,
ABJ13915.1,PA14_60070,WP_003141533.1,PA14_RS24515,PA14_RS24515,ATP-dependent endonuclease,OG0003894
ABJ13916.1,PA14_60080,WP_003141535.1,PA14_RS24520,PA14_RS24520,UvrD-helicase domain-containing protein,OG0003895
ABJ13917.1,PA14_60090,WP_003141537.1,PA14_RS30970,PA14_RS30970,hypothetical protein,OG0003896
ABJ13918.1,PA14_60100,WP_003141539.1,PA14_RS30975,PA14_RS30975,deoxycytidine deaminase,OG0003897
ABJ13919.1,PA14_60110,WP_003141540.1,PA14_RS24525,PA14_RS24525,hypothetical protein,OG0003898
ABJ13920.1,PA14_60120,WP_003141542.1,PA14_RS24530,PA14_RS24530,deoxycytidine deaminase,OG0003899
ABJ13921.1,PA14_60130,,,,,
ABJ13922.1,PA14_60140,,,,,
ABJ13923.1,PA14_60190,WP_003094682.1,PA14_RS24560,clpB,ATP-dependent chaperone ClpB,OG0000212
ABJ13924.1,PA14_60200,WP_003094684.1,PA14_RS24565,pgeF,peptidoglycan editing factor PgeF,OG0003900
ABJ13925.1,PA14_60210,WP_003094686.1,PA14_RS24570,rluD,23S rRNA pseudouridine(1911/1915/1917) synthase RluD,OG0003901
ABJ13926.1,PA14_60230,WP_003102590.1,PA14_RS24575,PA14_RS24575,outer membrane protein assembly factor BamD,OG0003902
ABJ13927.1,PA14_60240,WP_003102591.1,PA14_RS24580,PA14_RS24580,PP0621 family protein,OG0003903
ABJ13928.1,PA14_60250,WP_003094692.1,PA14_RS24585,pilS,two-component system sensor histidine kinase PilS,OG0003904
ABJ13929.1,PA14_60260,WP_003094694.1,PA14_RS24590,pilR,two-component system response regulator PilR,OG0003905
ABJ13930.1,PA14_60270,WP_003141551.1,PA14_RS24595,thiO,glycine oxidase ThiO,OG0003906
ABJ13931.1,PA14_60280,WP_003141552.1,PA14_RS24605,PA14_RS24605,GspH/FimT family pseudopilin,OG0000263
ABJ13931.1,PA14_60280, WP_016254062.1,,,,OG0000263
ABJ13932.1,PA14_60290,WP_016254061.1,PA14_RS24615,PA14_RS24615,prepilin-type N-terminal cleavage/methylation domain-containing protein,OG0003907
ABJ13933.1,PA14_60300,WP_003116263.1,PA14_RS24620,PA14_RS24620,pilus assembly protein,OG0003908
ABJ13934.1,PA14_60310,WP_003141555.1,PA14_RS24625,PA14_RS24625,type IV pilus biogenesis factor PilY1,OG0003909
ABJ13935.1,PA14_60320,WP_003116267.1,PA14_RS24635,PA14_RS24635,type IV pilin protein,OG0003910
ABJ13936.1,PA14_60330,WP_003094724.1,PA14_RS24640,ispH,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,OG0003911
ABJ13937.1,PA14_60350,WP_003102613.1,PA14_RS24645,fkpB,FKBP-type peptidyl-prolyl cis-trans isomerase,OG0003912
ABJ13938.1,PA14_60360,WP_003094728.1,PA14_RS24650,lspA,signal peptidase II,OG0003913
ABJ13939.1,PA14_60370,WP_003141556.1,PA14_RS24655,ileS,isoleucine--tRNA ligase,OG0003914
ABJ13940.1,PA14_60380,WP_003110419.1,PA14_RS24660,ribF,bifunctional riboflavin kinase/FAD synthetase,OG0003915
ABJ13941.1,PA14_60390,WP_003102622.1,PA14_RS24665,murJ,murein biosynthesis integral membrane protein MurJ,OG0003916
ABJ13942.1,PA14_60400,WP_003094744.1,PA14_RS24670,rpsT,30S ribosomal protein S20,OG0003917
ABJ13943.1,PA14_60410,WP_003094746.1,PA14_RS24675,PA14_RS24675,CreA family protein,OG0003918
ABJ13944.1,PA14_60420,WP_003094756.1,PA14_RS24680,proB,glutamate 5-kinase,OG0003919
ABJ15631.1,PA14_60445,WP_003094758.1,PA14_RS24685,cgtA,Obg family GTPase CgtA,OG0005438
ABJ13945.1,PA14_60450,WP_003094760.1,PA14_RS24690,rpmA,50S ribosomal protein L27,OG0003920
ABJ13946.1,PA14_60460,WP_003094761.1,PA14_RS24695,rplU,50S ribosomal protein L21,OG0003921
ABJ13947.1,PA14_60470,WP_003094763.1,PA14_RS24700,PA14_RS24700,polyprenyl synthetase family protein,OG0003922
ABJ13948.1,PA14_60480,WP_003094765.1,PA14_RS24705,PA14_RS24705,hypothetical protein,OG0003923
ABJ13949.1,PA14_60490,WP_003141558.1,PA14_RS24710,PA14_RS24710,c-type cytochrome,OG0003924
ABJ13950.1,PA14_60500,WP_003094769.1,PA14_RS24715,PA14_RS24715,FKBP-type peptidyl-prolyl cis-trans isomerase,OG0003925
ABJ13951.1,PA14_60520,WP_003105116.1,PA14_RS24720,PA14_RS24720,DUF6482 family protein,OG0003926
ABJ13952.1,PA14_60530,WP_003111135.1,PA14_RS24725,PA14_RS24725,TIGR00645 family protein,OG0003927
ABJ13953.1,PA14_60540,WP_003094775.1,PA14_RS24730,PA14_RS24730,hypothetical protein,OG0003928
ABJ13954.1,PA14_60550,WP_003141561.1,PA14_RS24735,PA14_RS24735,ATP-binding protein,OG0003929
ABJ13955.1,PA14_60560,WP_003112819.1,PA14_RS24740,PA14_RS24740,TraR/DksA family transcriptional regulator,OG0003930
ABJ13956.1,PA14_60570,WP_003094783.1,PA14_RS24745,PA14_RS24745,DUF3015 domain-containing protein,OG0000213
ABJ13957.1,PA14_60580,WP_003094784.1,PA14_RS24750,PA14_RS24750,DUF4105 domain-containing protein,OG0003931
ABJ13958.1,PA14_60590,WP_003134970.1,PA14_RS24755,PA14_RS24755,NADAR domain-containing protein,OG0003932
ABJ13959.1,PA14_60600,WP_003094789.1,PA14_RS24760,rtcR,RNA repair transcriptional activator RtcR,OG0003933
ABJ13960.1,PA14_60630,WP_011666765.1,PA14_RS24770,PA14_RS24770,slipin family protein,OG0003934
ABJ13961.1,PA14_60650,WP_003134974.1,PA14_RS24775,PA14_RS24775,RtcB family protein,OG0003935
ABJ13962.1,PA14_60660,WP_003141564.1,PA14_RS24780,PA14_RS24780,nucleotidyltransferase domain-containing protein,OG0003936
ABJ13963.1,PA14_60670,WP_003112809.1,PA14_RS24785,rtcA,RNA 3'-terminal phosphate cyclase,OG0003937
ABJ13964.1,PA14_60690,WP_003094811.1,PA14_RS24790,PA14_RS24790,hypothetical protein,OG0003938
ABJ13965.1,PA14_60700,WP_003094815.1,PA14_RS24795,ccpA,cytochrome-c peroxidase CcpA,OG0003939
ABJ13966.1,PA14_60710,WP_003094817.1,PA14_RS24800,gdhA,NADP-specific glutamate dehydrogenase,OG0003940
ABJ13967.1,PA14_60730,WP_003141567.1,PA14_RS24805,PA14_RS24805,outer membrane protein transport protein,OG0003941
ABJ13968.1,PA14_60750,WP_003119407.1,PA14_RS24810,PA14_RS24810,protein activator,OG0003942
ABJ13969.1,PA14_60760,WP_003141568.1,PA14_RS24815,PA14_RS24815,HlyD family efflux transporter periplasmic adaptor subunit,OG0003943
ABJ13970.1,PA14_60770,WP_003110719.1,PA14_RS24820,PA14_RS24820,TolC family protein,OG0003944
ABJ13971.1,PA14_60780,WP_003116279.1,PA14_RS24825,PA14_RS24825,ABC transporter permease,OG0003945
ABJ13972.1,PA14_60790,WP_003141570.1,PA14_RS24830,PA14_RS24830,ABC transporter ATP-binding protein,OG0003946
ABJ13973.1,PA14_60800,WP_003094829.1,PA14_RS24835,ettA,energy-dependent translational throttle protein EttA,OG0003947
ABJ13974.1,PA14_60810,WP_003141571.1,PA14_RS24845,escR,TetR/AcrR family transcriptional regulator EscR,OG0000214
ABJ13975.1,PA14_60820,WP_003116284.1,PA14_RS24850,oprJ,multidrug efflux transporter outer membrane subunit OprJ,OG0003948
ABJ13976.1,PA14_60830,WP_003141572.1,PA14_RS24855,mexD,multidrug efflux RND transporter permease subunit MexD,OG0000021
ABJ13977.1,PA14_60850,WP_003141574.1,PA14_RS24860,mexC,multidrug efflux RND transporter periplasmic adaptor subunit MexC,OG0003949
ABJ13978.1,PA14_60860,WP_009316251.1,PA14_RS24865,nfxB,efflux pump transcriptional repressor NfxB,OG0000214
ABJ13979.1,PA14_60870,WP_011666766.1,PA14_RS24870,morA,cyclic di-GMP receptor MorA,OG0003950
ABJ13980.1,PA14_60890,WP_003141578.1,PA14_RS24875,PA14_RS24875,serine hydroxymethyltransferase,OG0000023
